Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
 Bahrain,0.745,0.751,0.757,0.765,0.768,0.775,0.778,0.779,0.783,0.786,0.794,0.796,0.798,0.803,0.806,0.81,0.813,0.815,0.814,0.81,0.812,0.812,0.815,0.82,0.823,0.824
 Cyprus,0.733,0.736,0.741,0.778,0.782,0.784,0.788,0.791,0.798,0.798,0.8,0.805,0.815,0.823,0.826,0.829,0.836,0.844,0.849,0.853,0.847,0.85,0.85,0.85,0.854,0.856
 Egypt,0.547,0.551,0.557,0.563,0.57,0.577,0.585,0.592,0.593,0.606,0.612,0.617,0.621,0.623,0.629,0.636,0.644,0.651,0.659,0.665,0.671,0.673,0.681,0.686,0.688,0.691
 Iran (Islamic Republic of),0.572,0.59,0.603,0.614,0.623,0.634,0.642,0.648,0.654,0.66,0.666,0.674,0.679,0.686,0.687,0.692,0.704,0.716,0.728,0.735,0.745,0.755,0.769,0.77,0.774,0.774
 Iraq,0.572,0.527,0.541,0.561,0.561,0.553,0.572,0.582,0.596,0.603,0.607,0.614,0.616,0.603,0.628,0.631,0.636,0.638,0.643,0.646,0.649,0.656,0.659,0.658,0.649,0.649
 Israel,0.785,0.794,0.801,0.806,0.811,0.817,0.823,0.831,0.839,0.845,0.85,0.855,0.863,0.863,0.866,0.87,0.872,0.877,0.876,0.878,0.883,0.889,0.891,0.895,0.898,0.899
 Jordan,0.62,0.63,0.651,0.662,0.673,0.687,0.689,0.693,0.697,0.7,0.706,0.712,0.717,0.723,0.73,0.733,0.736,0.739,0.742,0.739,0.737,0.735,0.737,0.737,0.741,0.742
 Kuwait,0.713,0.673,0.666,0.695,0.721,0.747,0.772,0.775,0.78,0.786,0.786,0.785,0.788,0.791,0.789,0.787,0.787,0.787,0.788,0.79,0.792,0.794,0.796,0.787,0.799,0.8
 Lebanon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.733,0.731,0.74,0.746,0.752,0.758,0.763,0.766,0.763,0.763,0.763
 Oman,-,-,-,-,-,-,-,-,-,-,0.705,0.716,0.725,0.734,0.742,0.748,0.753,0.765,0.782,0.797,0.797,0.797,0.796,0.796,0.795,0.796
" Palestine, State of",-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.648,0.656,0.656,0.661,0.656,0.667,0.669,0.674,0.684,0.678,0.678,0.684
 Qatar,0.754,0.751,0.752,0.763,0.775,0.783,0.796,0.8,0.804,0.808,0.809,0.807,0.815,0.826,0.83,0.835,0.83,0.825,0.828,0.825,0.827,0.837,0.843,0.854,0.855,0.856
 Saudi Arabia,0.698,0.707,0.712,0.715,0.718,0.722,0.727,0.731,0.736,0.737,0.742,0.745,0.747,0.754,0.761,0.767,0.773,0.779,0.787,0.792,0.804,0.818,0.83,0.841,0.845,0.847
 Syrian Arab Republic,0.556,0.56,0.566,0.569,0.574,0.577,0.581,0.586,0.589,0.588,0.589,0.596,0.599,0.61,0.624,0.636,0.644,0.651,0.648,0.65,0.646,0.645,0.635,0.575,0.553,0.536
 Turkey,0.576,0.58,0.586,0.594,0.596,0.604,0.613,0.621,0.632,0.641,0.653,0.658,0.668,0.675,0.681,0.687,0.697,0.705,0.709,0.715,0.737,0.75,0.754,0.759,0.764,0.767
 United Arab Emirates,0.726,0.738,0.742,0.748,0.756,0.764,0.771,0.778,0.785,0.791,0.798,0.803,0.808,0.813,0.818,0.823,0.826,0.829,0.831,0.826,0.824,0.826,0.829,0.832,0.836,0.84
 Yemen,0.405,0.408,0.412,0.414,0.418,0.421,0.424,0.428,0.432,0.436,0.444,0.45,0.457,0.464,0.47,0.475,0.477,0.48,0.483,0.488,0.493,0.494,0.498,0.5,0.499,0.482
