location_id,location_name,year_id,indicator_id,indicator_short,indicator_description,indicator_is_mdg,indicator_outline,indicator_unit,target_description,goal_description,scaled_value,scaled_lower,scaled_upper
140,Bahrain,1990,1000,HIV,"Age-standardized rate of new HIV infections (per 1,000)",Included in the MDG Index,3.3.1,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,54.9,46.8,60.9
140,Bahrain,1990,1001,TB,"Age-standardized rate of new and relapsed tuberculosis cases (per 1,000)",Included in the MDG Index,3.3.2,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,54,52.4,55.6
140,Bahrain,1990,1002,Malaria,"Age-standardized rate of malaria cases (per 1,000)",Included in the MDG Index,3.3.3,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,100,100,100
140,Bahrain,1990,1003,Hep B,"Age-standardized rate of hepatitis B incident cases (per 100,000)",Not included in the MDG Index,3.3.4,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,30.9,8.6,52.3
140,Bahrain,1990,1004,NTDs,"Age-standardized prevalence rate of 14 neglected tropical diseases (NTDs) (per 100,000)",Not included in the MDG Index,3.3.5,Scaled/Normalized value ranging from 0-100,"By 2030, end the epidemics of AIDS, tuberculosis, malaria and neglected tropical diseases and combat hepatitis, water-borne diseases and other communicable diseases.",Ensure healthy lives and promote well-being for all at all ages.,99.9,99.8,99.9
140,Bahrain,1990,1019,Disaster,"Age-standardized death rate due to exposure to forces of nature (per 100,000)",Not included in the MDG Index,1.5.1,Scaled/Normalized value ranging from 0-100,"By 2030, build the resilience of the poor and those in vulnerable situations and reduce their exposure and vulnerability to climate-related extreme events and other economic, social and environmental shocks and disasters.",End poverty in all its forms everywhere.,100,100,100
140,Bahrain,1990,1020,NCDs,"Age-standardized death rate due to cardiovascular diseases, cancers, diabetes, and chronic respiratory diseases among populations aged 30 to 70 years (per 100,000)",Not included in the MDG Index,3.4.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being.",Ensure healthy lives and promote well-being for all at all ages.,43.9,37.2,50.5
140,Bahrain,1990,1025,Suicide,"Age-standardized death rate due to self-harm (per 100,000 population)",Not included in the MDG Index,3.4.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce by one third premature mortality from non-communicable diseases through prevention and treatment and promote mental health and well-being.",Ensure healthy lives and promote well-being for all at all ages.,58.5,52.4,64.7
140,Bahrain,1990,1026,Road Inj,"Age-standardized death rate due to road injuries (per 100,000)",Not included in the MDG Index,3.6.1,Scaled/Normalized value ranging from 0-100,"By 2020, halve the number of global deaths and injuries from road traffic accidents.",Ensure healthy lives and promote well-being for all at all ages.,42.4,35.5,48.9
140,Bahrain,1990,1027,Poisons,"Age-standardized death rate due to unintentional poisonings (per 100,000)",Not included in the MDG Index,3.9.3,Scaled/Normalized value ranging from 0-100,"By 2030, substantially reduce the number of deaths and illnesses from hazardous chemicals and air, water and soil pollution and contamination.",Ensure healthy lives and promote well-being for all at all ages.,58.4,54.4,65.8
140,Bahrain,1990,1030,Violence,"Age-standardized death rate due to interpersonal violence (per 100,000)",Not included in the MDG Index,16.1.1,Scaled/Normalized value ranging from 0-100,Significantly reduce all forms of violence and related death rates everywhere.,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable, and inclusive institutions at all levels.",60.3,51.2,64.5
140,Bahrain,1990,1031,War,"Age-standardized death rate due to collective violence and legal intervention (per 100,000)",Not included in the MDG Index,16.1.2,Scaled/Normalized value ranging from 0-100,Significantly reduce all forms of violence and related death rates everywhere.,"Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable, and inclusive institutions at all levels.",100,100,100
140,Bahrain,1990,1032,Overweight,Prevalence of overweight among children aged 2 to 4 years,Not included in the MDG Index,2.2.2b,Scaled/Normalized value ranging from 0-100,"By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons.","End hunger, achieve food security and improved nutrition, and promote sustainable agriculture.",28.3,9.4,45.7
140,Bahrain,1990,1033,MMR,"Maternal mortality ratio (maternal deaths among women aged 15-49 years per 100,000 live births)",Included in the MDG Index,3.1.1,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,48.4,43.2,53
140,Bahrain,1990,1034,SBA,"Proportion of births attended by skilled health personnel (doctors, nurses, midwives, or country-specific medical staff [e.g., clinical officers])",Included in the MDG Index,3.1.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the global maternal mortality ratio to less than 70 per 100,000 live births.",Ensure healthy lives and promote well-being for all at all ages.,91.2,87.6,94.1
140,Bahrain,1990,1035,Met Need Mod,Proportion of women of reproductive age (15 to 49 years) who have their need for family planning satisfied with modern methods,Included in the MDG Index,3.7.1,Scaled/Normalized value ranging from 0-100,"By 2030, ensure universal access to sexual and reproductive healthcare services, including for family planning, information and education, and the integration of reproductive health into national strategies and programs.",Ensure healthy lives and promote well-being for all at all ages.,37.9,30.3,46
140,Bahrain,1990,1037,UHC Tracer,Coverage of universal health coverage (UHC) tracer interventions for prevention and treatment services,Included in the MDG Index,3.8.1,Scaled/Normalized value ranging from 0-100,"Achieve universal health coverage, including financial risk protection, access to quality essential health-care services and access to safe, effective, quality and affordable essential medicines and vaccines for all.",Ensure healthy lives and promote well-being for all at all ages.,53.4,51.8,55.1
140,Bahrain,1990,1039,Mean PM2.5,Population-weighted mean levels of fine particulate matter smaller than 2.5 microns (PM2.5),Not included in the MDG Index,11.6.2,Scaled/Normalized value ranging from 0-100,"By 2030, reduce the adverse per capita environmental impact of cities, including by paying special attention to air quality and municipal and other waste management.","Make cities and human settlements inclusive, safe, resilient, and sustainable.",22.9,16.5,32.2
